Send,SORT,Sender,Recipient,time,SenderLocation,LATITUDE,LONGITUDE,RecLocation,RecLat,RecLong,URL,
Whitman,644,Whitman; Walt,Alcott; Amos Bronson,1868-04-26,"Washington, DC",38.907192,-77.036871,,,,https://whitmanarchive.org/biography/correspondence/tei/loc.01572.html,
Not,645,Alcott; Amos Bronson,Whitman; Walt,1868-04-28,,,,"Washington, DC",38.907192,-77.036871,,
Whitman,646,Whitman; Walt,Whitman; Louisa Van Velsor,1868-04-28,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/upa.00159.html,
Whitman,647,Whitman; Walt,Church; W.C.; and Church; F.P.,1868-04-30,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/loc.01286.html,
Not,648,Church; Francis P.,Whitman; Walt,1868-05-02,"Manhattan, NY",40.78306,-73.971249,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/loc.01287.html,
Not,649,Wilson; Benton H. (ex-soldier),Whitman; Walt,1868-05-03,"Syracuse, NY",43.048122,-76.147424,"Washington, DC",38.907192,-77.036871,,
Not,650,Whitman; Louisa Van Velsor,Whitman; Walt,1868-05-05,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00543.html,
Not,651,Conway; Moncure D.,Whitman; Walt,1868-05-09,"London, GBR",51.507351,-0.127758,"Washington, DC",38.907192,-77.036871,,
Whitman,652,Whitman; Walt,Hine; Charles,1868-05-09,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/loc.01579.html,
Not,653,Whitman; Louisa Van Velsor,Whitman; Walt,1868-05-14,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,,
Not,654,Church; Francis P.,Whitman; Walt,1868-05-15,"Manhattan, NY",40.78306,-73.971249,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/loc.01288.html,
Not,655,Sheldon & Company (for The Galaxy),Whitman; Walt,1868-05-16,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/loc.01919.html,
Whitman,656,Whitman; Walt,Messrs. Sheldon & Company,1868-05-18,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/prc.00012.html,
Not,657,Burroughs; John,Whitman; Walt,1868-06-01,,,,"Washington, DC",38.907192,-77.036871,,
Whitman,658,Whitman; Walt,Whitman; Louisa Van Velsor,1868-06-06,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",,,https://whitmanarchive.org/biography/correspondence/tei/duk.00650.html,
Not,659,Whitman; Louisa Van Velsor,Whitman; Walt,1868-06-15,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/tex.00178.html,
Not,660,Hine; Charles (an artist),Whitman; Walt,1868-06-17,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,,
Not,661,Whitman; Louisa Van Velsor,Whitman; Walt,1868-06-25,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00545.html,
Not,662,Whitman; Louisa Van Velsor,Whitman; Walt,1868-07-01,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00546.html,
Not,663,Whitman; Louisa Van Velsor,Whitman; Walt,1868-07-08,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00547.html,
Whitman,664,Whitman; Walt,Whitman; Louisa Van Velsor,1868-07-10,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/duk.00651.html,
Not,665,Whitman; Thomas Jefferson,Whitman; Walt,1868-07-12,"St. Louis, MO",38.627003,-90.199404,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/loc.00447.html,
Not,666,Whitman; Louisa Van Velsor,Whitman; Walt,1868-07-15,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00548.html,
Whitman,667,Whitman; Walt,Whitman; Louisa Van Velsor,1868-07-17,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/nyp.00281.html,
Not,668,A. Simpson & Company,Whitman; Walt,1868-08-01,"Manhattan, NY",40.78306,-73.971249,"Washington, DC",38.907192,-77.036871,,
Whitman,669,Whitman; Walt,Whitman; Louisa Van Velsor,1868-08-13,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/uva.00352.html,
Not,670,Whitman; Louisa Van Velsor,Whitman; Walt,1868-08-19,"Brooklyn, NY",40.678178,-73.944158,"Alexandria, VA",38.804836,-77.046921,,
Whitman,671,Whitman; Walt,Whitman; Louisa Van Velsor,1868-08-24,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/duk.00652.html,
Whitman,672,Whitman; Walt,Alden; William Livingston,1868-08-27,"Washington, DC",38.907192,-77.036871,"Hempstead, NY",40.706213,-73.61874,https://whitmanarchive.org/biography/correspondence/tei/hsp.00008.html,
Whitman,673,Whitman; Walt,Whitman; Louisa Van Velsor,1868-08-30,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/duk.00653.html,
Whitman,674,Whitman; Walt,Whitman; Louisa Van Velsor,1868-09-07,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/tex.00188.html,
Whitman,675,Whitman; Walt,Price; Abby H.,1868-09-07,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/pml.00025.html,
Not,676,Sutherland; Byron,Whitman; Walt,1868-09-12,"Edinboro, PA",41.874222,-80.131724,"Washington, DC",38.907192,-77.036871,,
Whitman,677,Whitman; Walt,Price; Abby H.,1868-09-14,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/pml.00026.html,
Not,678,O'Connor; William D.,Whitman; Walt,1868-09-16,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,,
Not,679,Doyle; Peter,Whitman; Walt,1868-09-18,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/uva.00360.html,
Whitman,680,Whitman; Walt,Sutherland; Byron,1868-09-20,"Brooklyn, NY",40.678178,-73.944158,"Edinboro, PA",41.874222,-80.131724,https://whitmanarchive.org/biography/correspondence/tei/nyp.00283.html,
Not,681,Doyle; Peter,Whitman; Walt,1868-09-21,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/duk.00763.html,
Not,682,Doyle; Peter,Whitman; Walt,1868-09-23,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/uva.00361.html,
Not,683,Channing; William F.,Whitman; Walt,1868-09-24,"Providence, RI",41.823989,-71.412834,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/loc.01257.html,
Whitman,684,Whitman; Walt,Doyle; Peter,1868-09-25,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/loc.01581.html,
Not,685,Swinton; John,Whitman; Walt,1868-09-25,"Manhattan, NY",40.78306,-73.971249,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/loc.01955.html,
Not,686,Doyle; Peter,Whitman; Walt,1868-09-27,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/pml.00038.html,
Whitman,687,Whitman; Walt,Channing; William Francis,1868-09-27,"Brooklyn, NY",40.678178,-73.944158,,,,https://whitmanarchive.org/biography/correspondence/tei/rdi.00002.html,
Whitman,688,Whitman; Walt,O'Connor; William D.; and O'Connor Ellen M.,1868-09-27,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/nyp.00285.html,
Whitman,689,Whitman; Walt,Swinton; John,1868-09-28,"Brooklyn, NY",40.678178,-73.944158,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/loc.01585.html,
Whitman,690,Whitman; Walt,Doyle; Peter,1868-09-29,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/loc.01584.html,
